Date,City,Cause of Death
01/15/2005,Nai Muang -  Muang -  Nakhon Ratchasima -  Thailand,Drug-Related
01/16/2005,68/3 Moo 2 -  Baan Suan -  Muang -  Chonburi -  Thailand,Veh. Accident-Motorcycle
01/25/2005,Gulf Of Thailand -  Bo Phud Sub-district -  Koh Samui District -  Surat Thani Province -  Thailand,Maritime Accident
01/25/2005,Gulf Of Thailand -  Bo Phud Sub-district -  Koh Samui District -  Surat Thani Province -  Thailand,Maritime Accident
01/25/2005,Gulf Of Thailand -  Bo Phud Sub-district -  Koh Samui District -  Surat Thani Province -  Thailand,Maritime Accident
02/10/2005,Chiang Mai -  Thailand,Other Accident
03/03/2005,Bangkok -  Thailand,Drowning
03/12/2005,681 Samsen Road -  Dusit -  Bangkok -  Thailand,Veh. Accident-Pedestrian
03/14/2005,Bang Lamung -  Chonburi -  Thailand,Drowning
04/06/2005,Phuket -  Thailand,Veh. Accident-Motorcycle
04/22/2005,Mittrapap Road -  Pak Chong -  Nakorn Ratchasima -  Thailand,Veh. Accident-Auto
04/25/2005,Bangkok -  Thailand,Suicide
05/25/2005,Krasang District -  Buriram Province -  Thailand,Homicide
07/11/2005,Bang Lamung -  Chonburi -  Thailand,Suicide
07/24/2005,Buntharik Hospital -  200 Moo 1 -  Phonngam -  Buntharik -  Ubon Ratchathani -  Thailand,Veh. Accident-Motorcycle
08/08/2005,8/1 Loi Khroh Rd. -  Changlkan -  Chiang Mai -  Thailand,Drug-related
09/23/2005,116 Moo 6 -  Patan Mueang -  Lopburi -  Thailand,Veh. Accident-Auto
09/23/2005,116 Moo 8 -  Patan Mueang -  Lopburi -  Thailand,Veh. Accident-Auto
10/03/2005,31-33 Thapae Rd. Soi 3 Muang -  Chiang Mai -  Thailand,Drug-Related
10/04/2005,Industrial Estate -  Moo 5 -  Tungsukhla -  Sriracha -  Chonburi -  Thailand,Veh. Accident-Motorcycle
10/19/2005,Rasada Road -  Tap Tieng -  Muang District -  Trang Province -  Thailand,Veh. Accident-Other
11/17/2005,Muang -  Nong Khai -  Thailand,Homicide
12/27/2005,Ramkhamhaeng Rd. -  Min Buri -  Bangkok -  Thailand,Veh. Accident-Auto
01/01/2006,Chiang Rai -  Chiang Rai -  Thailand,Other Accident
01/02/2006,Pahya Thai -  Bangkok -  Thai,Suicide
01/09/2006,Din Daeng -  Bangkok -  Thailand,Other Accident
01/17/2006,Nong Prue -  Banglamung Chon Buri,Suicide
01/18/2006,Hat Kham -  Muang -  Nongkhai -  Thailand,Homicide
04/23/2006,Bangkok -  Thailand,Homicide
05/17/2006,Soi Ngam Du Plee -  Thung Maha Mek -  Sathon -  Bangkok -  Thailand,Suicide
05/28/2006,Chiang Mai -  Thailand,Veh. Accident-Motorcycle
05/30/2006,Chonburi -  Thailand,Drug-Related
06/11/2006,Bang Lamung -  Chonburi -  Thailand,Veh. Accident-Motorcycle
06/24/2006,Phuket -  Thailand,Drowning
07/02/2006,Sridonchai Road -  Thailand,Homicide
07/20/2006,700 Moo 8 Phasali District -  Thailand,Veh. Accident-Motorcycle
08/02/2006,Bang Kor -  Thailand,Suicide
08/04/2006,Mak Keng -  Muang -  Udon -  Thailand,Suicide
09/02/2006,Bleft City Tower -  Thailand,Suicide
09/09/2006,Mae Rim Road -  Chiang Mai -  Thailand,Veh. Accident-other
09/15/2006,Hat Yai -  Songkhla -  Thailand,Terrorist Action
09/29/2006,Chaing Mai -  Thailand,Homicide
11/02/2006,Udon Thani -  Thailand,Other Accident- fall
11/05/2006,Thialand,Suicide
11/16/2006,Patttaya -  Thailand,Other Accident - fall
11/25/2006,Hayachi Hill- Patak Road -  Phuket -  Thailand,Veh. Accident-Motorcycle
01/09/2007,Saraburi -  Thailand,Suicide
02/08/2007,Moo 1 -  Pak Tho -  Ratchaburi -  Thailand,Veh. Accident-Train
03/30/2007,Maesai-chiang Saen Rd. -  Chiang Rai -  Thailand,Veh. Accident-Auto
04/28/2007,69 Moo 2 -  Muang Chonburi -  Chonburi -  Thailand ,Veh. Accident-Motorcycle
05/01/2007,Bang Na-trad Road -  Racha Thewa -  Bang Plee -  Samut Krakan -  Thailand,Veh. Accident-Pedestrian
07/09/2007,Maesai-chiang Saen Road -  Chiang Rai -  Thailand,Veh. Accid-Auto
07/19/2007,Ratchaburi -  Thailand,Homicide
08/04/2007,Vachara Road -  Krabi Yai Subdistrict -  Muang -  Thailand,Veh. Accid-Auto
09/11/2007,Sangkhla Buri -  Kanchanaburi -  Thailand,Homicide
09/16/2007,Phuket International Airport -  Village 6 -  Maikhao Subdistrict -  Thalang -  Phuket -  Thailand,Air Accident
09/16/2007,Phuket International Airport -  Village 6 -  Maikhao Subdistrict -  Thalang -  Phuket -  Thailand,Air Accident
09/16/2007,Phuket International Airport - moo 6 -  Maikhao Subdistrict -  Phuket Thailand,Air Accident
09/16/2007,Village 6 -  Maikhao Subdistrict -  Phuket -  Thailand,Air Accident
09/16/2007,Village 6 -  Maikhao Subdistrict -  Thalang -  Phuket -  Thailand,Air Accident
09/16/2007,Village 6 -  Maikhao Subdistrict -  Thalang -  Phuket -  Thailand,Air Accident
09/30/2007,Sathon District -  Bangkok -  Thailand,Suicide
09/30/2007,Sathon District -  Bangkok -  Thailand,Suicide
10/02/2007, bang Lamung -  Chonburi -  Thailand,Suicide
