Date,City,Cause of Death
11/17/2005,San Jose -  Costa Rica,Drug-Related
01/14/2006,San Jose -  Costa Rica,Homicide
01/15/2006,Oreamuno -  Cartago -  Costa Rica,Air Accident
01/15/2006,Oreamuno -  Cartago -  Costa Rica,Air Accident
01/21/2006,Barranca -  Puntarenas -  Costa Rica,Veh. Accident-Auto
01/29/2006,Esterillos Este Beach -  Parrita -  Puntarenas -  Costa Rica,Drowning-Ocean
02/22/2006,Curridabat -  San Jose -  Costa Rica,Homicide
03/08/2006,Hermosa Beach -  Puntarenas -  Costa Rica,Drowning-Ocean
04/07/2006,Puntarenas -  Costa Rica,Drug-Related
04/12/2006,Puntarenas -  Costa Rica,Suicide
04/27/2006,San Jose -  Costa Rica,Other Accident
04/30/2006,San Jose -  Costa Rica,Suicide
05/14/2006,San Jose -  Costa Rica,Homicide
05/22/2006,Parrita -  Puntarenas -  Costa Rica,Veh. Accident-Auto
06/11/2006,Puntarenas -  Costa Rica,Drowning
06/11/2006,Puntarenas -  Costa Rica,Drowning
07/14/2006,Poas -  Alajuela -  Costa Rica,Suicide
07/15/2006,Esterillos Oeste Beach -  Puntarenas -  Costa Rica,Drowning-Ocean
07/21/2006,San Jose -  Costa Rica,Other Accident
09/10/2006,Cartago -  Costa Rica,Veh. Accident-Auto
09/10/2006,Cartago -  Costa Rica,Veh. Accident-Auto
09/21/2006,San Jose -  Costa Rica,Homicide
11/03/2006,San Jose -  Costa Rica,Suicide
01/09/2007,San Jose -  Costa Rica,Other Accident
01/12/2007,Montezuma Beach -  Cobano -  Puntarenas -  Costa Rica,Drowning - Ocean
01/12/2007,Montezuma Beach -  Puntarenas -  Costa Rica,Drowning - Ocean
01/14/2007,Bejuco Beach -  Parrita -  Puntarenas -  Costa Rica,Drowning - Ocean
01/28/2007,San Jose -  Costa Rica,Veh. Accident-Auto
02/07/2007,Punta Uva Beach -  Talamanca -  Limon -  Costa Rica,Drowning - Ocean
02/27/2007,Guanacaste -  Costa Rica,Veh. Accident
02/27/2007,Playas Del Coco -  Guanacaste -  Costa Rica,Other Accident
03/15/2007,El Carmen De Guadalupe -  San Jose -  Costa Rica,Homicide
03/15/2007,Playa Grande -  Guanacaste -  Costa Rica,Drowning - Ocean
03/15/2007,Playa Grande -  Santa Cruz -  Guanacaste -  Costa Rica,Drowning - Ocean
03/23/2007,Cobano Puntarenas -  Costa Rica,Suicide
03/24/2007,Puntarenas -  Costa Rica,Suicide
05/26/2007,San Jose -  Costa Rica,Veh. Accident-Auto
06/07/2007,Colorado River Mouth -  Pococi -  Limon -  Costa Rica,Drowning - River
06/18/2007,Guanacaste -  Costa Rica,Other Accident
07/06/2007,Baru Beach -  Quepos -  Aguirre,Drowning
