Date,City,Cause of Death
10/24/2005,At-bashy Mountain Range -  Atbashinskiy District -  Naryn Region -  Kyrgyzstan,Other Accident
10/29/2011,Bishkek -  Kyrgyzstan,Veh. Accid-Auto
06/22/2015,Bishkek,Veh. Accid-Motorcy.



