Date,City,Cause of Death
12/31/2011,Ho Chi Minh -  Vietnam,Veh. Accid-Pedestr.
02/21/2012,Ho Chi Minh -  Vietnam,Other Accident
04/25/2012,Quang Nam -  Vietnam,Other Accident
05/10/2012,Ho Chi Minh -  Vietnam,Vehicle Accident - Pedestrian
05/17/2012,Khanh Hoa -  Vietnam,Vehicle Accident - Motorcycle
10/02/2012,Ho Chi Minh City -  Vietnam,Vehicle Accident - Auto
11/29/2012,Ho Chi Minh City -  Vietnam,Vehicle Accident - Motorcycle
02/16/2013,Ho Chi Minh -  Vietnam,Veh. Accid-Motorcy.
07/27/2013,Bien Hoa -  Dong Nai -  Vietnam,Other Accident
08/23/2013,Hau Giang Province -  Hau Giang -  Vietnam,Veh. Accid-Motorcy.
09/09/2013,Huynh Tan Phat -  Ho Chi Minh -  Vietnam,Veh. Accid-Other
09/24/2013,Ho Chi Minh City -  Vietnam,Veh. Accid-Motorcy.
12/07/2013,Ho Chi Minh City -  Vietnam,Other Accident
03/17/2014,Hanoi,Other Accident
04/14/2014,Ho Chi Minh City,Veh. Accid-Motorcy.
06/27/2014,Binh Thuan,Drowning
09/06/2014,Muong Cha District - Dien Bien Phu Province,Veh. Accid-Auto
09/21/2014,Ho Chi Minh City,Veh. Accid-Motorcy.
09/22/2014,Ho Chi Minh City,Other Accident
11/23/2014,Ho Chi Minh City,Veh. Accid-Motorcy.
12/31/2014,Dong Nai,Veh. Accid-Motorcy.
02/01/2015,Long An,Suicide
02/25/2015,Ho Chi Minh City,Other Accident
04/19/2015,Ho Chi Minh City,Veh. Accid-Motorcy.
05/15/2015,Ho Chi Minh City,Maritime Accident
05/31/2015,Thu Duc District -  Ho Chi MInh City,Veh. Accid-Auto
05/31/2015,Thu Duc District -  Ho Chi MInh City,Veh. Accid-Auto
05/31/2015,Thu Duc District -  Ho Chi MInh City,Veh. Accid-Auto
09/26/2015, Da Lat Cit,Suicide
09/27/2015,Binh Dinh,Veh. Accid-Motorcy.
10/08/2015,Ho Chi Minh City,Suicide
02/13/2016,Ho Chi Minh City,Veh. Accid-Motorcy.
05/13/2016,Thai Nguyen,Other Accident
06/27/2016,Bien Hoa - Dong Nai,Other Accident
10/29/2016,Ben Thanh Ward -  District 1 -  Ho Chi Minh City,Suicide
11/27/2016,Rach Gia -  Kien Giang,Veh. Accid-Motorcy.
12/02/2016,Binh Thanh District -  Ho Chi Minh City,Suicide
12/06/2016,Hoi An City -  Quang Nam,Suicide
12/21/2016,Hanoi,Suicide
01/12/2017,Long An,Drowning
01/25/2017,Khanh Hoa,Veh. Accid-Motorcy.
03/09/2017,Ho Chi Minh City,Veh. Accid-Motorcy.
03/21/2017,Khanh Hoa,Veh. Accid-Motorcy.
03/26/2017,Hoa Binh,Veh. Accid-Motorcy.
05/13/2017,Ho Chi Minh City,Veh. Accid-Motorcy.
06/05/2017,Da Hoia District,Veh. Accid-Auto
06/21/2017,Ho Chi Minh City,Homicide
08/13/2017,Nha Trang -  Khanh Hoa Province,Veh. Accid-Motorcy.
09/28/2017,Bien Hoa -  Dong Nai,Veh. Accid-Motorcy.
10/31/2017,Phan Rang Thap Cham City -  Ninh Thuan,Veh. Accid-Other
12/11/2017,Hanoi,Veh. Accid-Motorcy.
12/16/2017,Ho Chi Minh City,Veh. Accid-Motorcy.
01/17/2018,Ho Chi Minh City -  Southeast,Suicide
01/31/2018,Ho Chi Minh City -  Southeast,Suicide
02/12/2018,Hai Phong -  Red River Delta,Other Accident
03/06/2018,Ngo Quyen -  Hai Phong,Other Accident
03/14/2018,Ho Chi Minh City -  Southeast,Veh. Accid-Auto
03/19/2018,Dai Loc District -  Quang Nam,Suicide
03/21/2018,Ho Chi Minh City -  Southeast,Veh. Accid-Motorcy.
03/23/2018,Ho Chi Minh City -  Southeast,Veh. Accid-Motorcy.
03/30/2018,Ngu Hanh Son -  Da Nang,Veh. Accid-Motorcy.
04/11/2018,Tay Ho -  Hanoi,Suicide
05/07/2018,Ho Chi Minh City -  Southeast,Suicide
06/20/2018,Ho Chi Minh City -  Southeast,Suicide



