Date,City,Cause of Death
08/11/2015,Molaon,Drowning
08/28/2015,Aigina -  Attica,Drowning
10/01/2015,Agios Nikolaos,Veh. Accid-Auto
01/12/2016,Attica,Homicide
05/28/2016,Egira,Veh. Accid-Auto
06/24/2016,Hydra,Drowning
07/08/2016,Ialysos - Rhodes,Drowning
07/28/2016,Monemvasia - Lakonias,Drowning
07/30/2016,Sparta -  Laconia,Veh. Accid-Auto
08/25/2016,Paradisos Beach - Thasos,Drowning
09/04/2016,Skala -  Cephalonia,Drowning
09/14/2016,Mournies -  Chania,Veh. Accid-Auto
10/18/2016,Kavala -  Kavala,Other Accident
01/18/2017,Karpathos,Suicide
01/22/2017,Kavala,Veh. Accid-Auto
06/05/2017,Patmos,Drowning
06/05/2017,Zakynthos,Other Accident
07/07/2017,Zakynthos,Homicide
08/18/2017,Arkadias,Veh. Accid-Pedestr.
09/17/2017,Achaea,Veh. Accid-Auto
09/25/2017,Achaea,Veh. Accid-Auto
10/19/2017,Mykonos,Other Accident
01/19/2018,Kaisariani -  Attica,Suicide



