Index,Date,City,Cause of Death,Country
2673,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2674,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2675,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2676,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2677,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2678,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2679,12/19/2011,Mangrol -  Surat -  Gujarat -  India,Vehicle Accident,India
2680,1/1/2012,Karamsad -  Gujarat -  India,Vehicle Accident,India
2681,1/1/2012,Mumbai -  Maharashtra -  India,Other Accident,India
2682,1/6/2012,Agra -  Uttar Pradesh -  India,Vehicle Accident,India
2683,1/6/2012,Agra -  Uttar Pradesh -  India,Vehicle Accident,India
2684,1/6/2012,Agra -  Uttar Pradesh -  India,Vehicle Accident,India
2685,1/6/2012,Agra -  Uttar Pradesh -  India,Vehicle Accident,India
2686,1/21/2012,Hyderabad -  Andhra Pradesh -  India,Suicide,India
2687,3/24/2012,Dapoli -  Maharashtra -  India,Vehicle Accident,India
2688,3/26/2012,Pune -  India,Suicide,India
2689,10/10/2012,New Delhi -  India,Suicide,India
2690,10/13/2012,Bara Bhangal -  Himachal Pradesh -  India,Other Accident,India
2691,10/24/2012,Atchutapuram -  Andhra Pradesh -  India,Train Accident,India
2692,12/9/2012,Bangalore -  Karnataka -  India,Other Accident,India
2693,1/1/2013,Punjab -  India,Homicide,India
2694,1/21/2013,Goa -  India,Vehicle Accident,India
2695,2/25/2013,Chennai -  Tamil Nadu -  India,Suicide,India
2696,6/4/2013,Mumbai -  India,Suicide,India
2697,6/29/2013,Ludhiana -  India,Other Accident,India
2698,7/22/2013,Kothakota -  Mahabubnagar -  Andhra Pradesh -  India,Vehicle Accident,India
2699,8/14/2013,Coimbatore -  Tamil Nadu -  India,Vehicle Accident,India
2700,9/12/2013,Bangalore -  Karnataka -  India,Other Accident,India
2701,12/25/2013,Kasauli -  Himachal Pradesh -  India,Other Accident,India
2702,2/13/2014, Paalghar - Dist. Thane,Vehicle Accident,India
2703,2/13/2014,Paalghar - Dist: Thane,Vehicle Accident,India
2704,2/20/2014,Agra Cantt -  Uttar Pradesh,Homicide,India
2705,3/8/2014,Bhomwada -  Palyem,Vehicle Accident,India
2706,3/24/2014,Main Road -  Mangwal,Vehicle Accident,India
2707,3/24/2014,Mangwal - Sangrur,Vehicle Accident,India
2708,5/3/2014,Coimbatore - Tamil Nadu,Vehicle Accident,India
2709,5/21/2014,Bhalod Taluka -  Jhagadia,Drowning,India
2710,6/21/2014,Leh - Jammu and Kashmir,Other Accident,India
2711,7/2/2014,Gogina -  District Bageshwar - Uttarakhand,Other Accident,India
2712,7/2/2014,North Paravur - Kerala,Drowning,India
2713,8/20/2014,JPNA Trauma Centre -  AIIMS - Raj Nagar,Vehicle Accident,India
2714,10/12/2014,Tasekha - Punakha,Vehicle Accident,India
2715,11/29/2014,District Gurdaspur - Punjab,Vehicle Accident,India
2716,12/23/2014,Kolkata -  West Bengal,Suicide,India
2717,12/29/2014,P.O. & Teh Mukerian -  Punjab,Vehicle Accident,India
2718,1/17/2015,Rajinder Nagar -  New Delhi ,Vehicle Accident,India
2719,1/26/2015,Muzaffarpur -  Bihar,Vehicle Accident,India
2720,2/10/2015,Vijayawada -  Andhra Pradesh,Suicide,India
2721,2/20/2015,Jameetgarh Bhalla -  Nawanshahr -  Punjab,Vehicle Accident,India
2722,2/20/2015,Jameetgarh Bhalla -  Punjab,Vehicle Accident,India
2723,2/23/2015,Mumbai -  Maharashtra,Other Accident,India
2724,5/11/2015,Nadia -  West Bengal,Suicide,India
2725,6/2/2015,Ernakulam -  Kerala,Other Accident,India
2726,7/1/2015,Kollam -  Kerala,Suicide,India
2727,9/9/2015,Darjeeling -  West Bengal,Drowning,India
2728,10/19/2015,Hyderabad - Telangana,Suicide,India
2729,10/24/2015,Rajarhat -  Kolkata,Suicide,India
2730,12/3/2015,Chennai,Drowning,India
2731,1/6/2016,South Sikkim,Other Accident,India
2732,1/12/2016,Pernem,Drowning,India
2733,6/3/2016,Andhra Pradesh,Vehicle Accident,India
2734,7/7/2016,New Delhi ,Drowning,India
2735,7/17/2016,Jalandhar District - Punjab,Vehicle Accident,India
2736,9/1/2016,Meeyannoor -  Kerala,Vehicle Accident,India
2737,9/3/2016,Thiruvananthapuram,Other Accident,India
2738,10/31/2016,Meghalaya,Drowning,India
2739,11/5/2016,Vadodara -  Gujarat,Other Accident,India
2740,12/9/2016,Dungarpur -  Rajasthan,Vehicle Accident,India
2741,12/9/2016,Himmatnagar -  Gujarat,Vehicle Accident,India
2742,2/16/2017,Punjab,Vehicle Accident,India
2743,6/29/2017,Uttarakhnad,Other Accident,India
2744,7/5/2017,New Delhi,Homicide,India
2745,7/6/2017,Ahmedabad -  Gujarat,Vehicle Accident,India
2746,7/14/2017,Ahmedabad -  Gujarat,Vehicle Accident,India
2747,11/11/2017,Mumbai -  Maharashtra,Vehicle Accident,India
2748,12/22/2017,Pune -  Maharashtra,Vehicle Accident,India
2749,12/31/2017,Navsari -  Gujarat,Vehicle Accident,India
2750,1/31/2018,Sheron - Tarn Taran -  Punjab,Other Accident,India
2751,5/13/2018,Tarn Taran -  Punjab,Vehicle Accident,India
2752,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2753,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2754,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2755,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2756,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2757,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2758,10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action,Indonesia
2759,1/22/2003,Mt. Telomoyo -  Central Java -  Indonesia,Drowning,Indonesia
2760,6/16/2003,Batu Abah -  Nusa Penida -  Bali -  Indonesia,Drowning,Indonesia
2761,7/30/2003,Tulamben Beach -  Bali -  Indonesia,Drowning,Indonesia
2762,10/22/2003,Kerobokan -  Kuta -  Bali -  Indonesia,Drowning,Indonesia
2763,1/1/2004,Balikpapan -  Indonesia,Drowning,Indonesia
2764,9/20/2004,Waimena -  Papua -  Indonesia,Air Accident,Indonesia
2765,1/2/2005,Denpasar -  Bali -  Indonesia,Vehicle Accident,Indonesia
2766,3/18/2005,Denpasar -  Bali -  Indonesia,Vehicle Accident,Indonesia
2767,12/14/2005,Aceh -  Indonesia,Drowning,Indonesia
2768,4/26/2007,Denpasar -  Bali -  Indonesia,Vehicle Accident,Indonesia
2769,5/19/2007,Ubud -  Bali -  Indonesia,Vehicle Accident,Indonesia
2770,8/3/2007,East Kutai Regency -  East Kalimantan -  Indonesia,Vehicle Accident,Indonesia
2771,10/16/2007,Bali -  Indonesia,Drug Related,Indonesia
2772,8/9/2008,Papua -  Papua -  Indonesia,Air Accident,Indonesia
2773,8/27/2008,Jakarta Selatan -  Indonesia,Drowning,Indonesia
2774,8/30/2009,Dago - West Java -  Indonesia,Vehicle Accident,Indonesia
2775,9/8/2009,Badung - Bali -  Indonesia,Other Accident,Indonesia
2776,1/2/2010,Ubud - Bali -  Indonesia,Drowning,Indonesia
2777,3/15/2010,Badung - Bali -  Indonesia,Other Accident,Indonesia
2778,4/12/2010,West Java -  Indonesia,Train Accident,Indonesia
2779,11/7/2010,Lhoknga -  Aceh Besar Regency -  Indonesia,Drowning,Indonesia
2780,1/29/2011,Tegalalang -  Gianyar -  Bali -  Indonesia,Vehicle Accident,Indonesia
2781,7/24/2011,Liwa -  Lampung -  Barat -  Indonesia,Other Accident,Indonesia
2782,8/28/2011,Batam -  Indonesia,Vehicle Accident,Indonesia
2783,9/22/2011,Jayapura -  Papua -  Indonesia,Air Accident,Indonesia
2784,10/12/2011,Bali -  Indonesia,Vehicle Accident,Indonesia
2785,10/19/2011,Medan -  North Sumatra -  Indonesia,Other Accident,Indonesia
2786,5/9/2012,Bogor -  West Java -  Indonesia,Air Accident,Indonesia
2787,12/1/2012,Kuta -  Bali -  Indonesia,Drowning,Indonesia
2788,2/4/2013,Denpasar -  Bali -  Indonesia,Vehicle Accident,Indonesia
2789,4/2/2013,Jakarta -  Indonesia,Suicide,Indonesia
2790,6/16/2013,Pantai Krui -  Manatuto -  Indonesia,Drowning,Indonesia
2791,9/1/2013,Cugenang -  Cianjur -  West Java -  Indonesia,Other Accident,Indonesia
2792,9/29/2013,Kuta Utara -  Badung -  Bali -  Indonesia,Drug Related,Indonesia
2793,10/7/2013,Selemadeg Timur -  Tabanan -  Bali -  Indonesia,Vehicle Accident,Indonesia
2794,12/22/2013,Uluwatu -  Badung -  Bali -  Indonesia,Suicide,Indonesia
2795,3/9/2014,Bali,Drug Related,Indonesia
2796,3/23/2014,Mataram - Nusa Tenggara Barat,Suicide,Indonesia
2797,4/9/2014,Jayapura - Papua,Air Accident,Indonesia
2798,6/11/2014,Jakarta,Vehicle Accident,Indonesia
2799,8/12/2014,Nusa Dua,Homicide,Indonesia
2800,10/5/2014,Manado - North Sulawesi,Drowning,Indonesia
2801,1/30/2015,Gianyar - Bali,Other Accident,Indonesia
2802,3/23/2015,Surabaya -  Jawa Timur,Suicide,Indonesia
2803,4/28/2015,Klungkung -  Bali,Drowning,Indonesia
2804,7/20/2015,Denpasar -  Bali,Suicide,Indonesia
2805,8/30/2015,Badung -  Bali,Vehicle Accident,Indonesia
2806,10/11/2015,Kuala Lumpur,Vehicle Accident,Indonesia
2807,6/7/2016,Bali,Suicide,Indonesia
2808,9/16/2016,West Nias Island -  North Sumatera,Drowning,Indonesia
2809,10/29/2016,Denpasar -  Bali,Vehicle Accident,Indonesia
2810,11/3/2016,Badung -  Bali,Drowning,Indonesia
2811,2/5/2017,Bali,Vehicle Accident,Indonesia
2812,3/4/2017,Bengkulu,Drowning,Indonesia
2813,5/6/2017,North Jakarta,Suicide,Indonesia
2814,5/14/2017,Bali,Drowning,Indonesia
2815,2/15/2018,Denpasar -  Bali,Drowning,Indonesia
2816,4/1/2018,Lombok Utara -  Nusa Tenggara Barat,Drowning,Indonesia
2817,12/26/2003,En Route From Bam To Hospital In Kerman -  Iran,Disaster,Iran
2818,8/22/2004,Mount Davamand -  Iran,Other Accident,Iran
2819,6/17/2005, - kashan -  Iran,Vehicle Accident,Iran
2820,9/6/2005,Shahrak Gharb Simaye Iran Ave. -  Tehran -  Iran,Vehicle Accident,Iran
2821,9/6/2005,Shahrak Gharb Simaye Iran Ave. -  Tehran -  Iran,Vehicle Accident,Iran
2822,10/8/2011,Tajrish Square -  Tehran -  Iran,Vehicle Accident,Iran
2823,4/10/2013,Iraqi Kurdistan Region -  Iraq,Other Accident,Iran
2824,4/4/2003,Baghdad -  Iraq,Drowning,Iraq
2825,5/9/2003,Samarra -  Iraq,Vehicle Accident,Iraq
2826,7/31/2003,Safwan -  Iraq,Vehicle Accident,Iraq
2827,8/1/2003,Basrah -  Iraq,Vehicle Accident,Iraq
2828,8/5/2003,Tikrit -  Iraq,Terrorist Action,Iraq
2829,8/19/2003,Baghdad -  Iraq,Terrorist Action,Iraq
2830,8/19/2003,Baghdad -  Iraq,Terrorist Action,Iraq
2831,8/19/2003,Baghdad -  Iraq,Terrorist Action,Iraq
2832,9/3/2003,Baghdad -  Iraq,Terrorist Action,Iraq
2833,11/11/2003,Baghdad -  Iraq,Terrorist Action,Iraq
2834,11/13/2003,Balad -  Iraq,Terrorist Action,Iraq
2835,11/17/2003,Baqubah -  Iraq,Terrorist Action,Iraq
2836,11/18/2003,Ramadi -  Iraq,Vehicle Accident,Iraq
2837,11/23/2003,Mosul -  Iraq,Vehicle Accident,Iraq
2838,11/23/2003,Mosul -  Iraq,Vehicle Accident,Iraq
2839,12/14/2003,Addujayal -  Iraq,Homicide,Iraq
2840,1/21/2004,Samawah -  Iraq,Vehicle Accident,Iraq
2841,1/27/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2842,2/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2843,2/16/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2844,2/23/2004,Iskandariya -  Iraq,Terrorist Action,Iraq
2845,2/28/2004,Balud -  Iraq,Vehicle Accident,Iraq
2846,3/15/2004,Mosul -  Iraq,Terrorist Action,Iraq
2847,3/15/2004,Mosul -  Iraq,Terrorist Action,Iraq
2848,3/15/2004,Mosul -  Iraq,Terrorist Action,Iraq
2849,3/16/2004,Mosul -  Iraq,Terrorist Action,Iraq
2850,3/31/2004,Fallujah -  Iraq,Terrorist Action,Iraq
2851,3/31/2004,Fallujah -  Iraq,Terrorist Action,Iraq
2852,3/31/2004,Fallujah -  Iraq,Terrorist Action,Iraq
2853,3/31/2004,Fallujah -  Iraq,Terrorist Action,Iraq
2854,4/8/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2855,4/8/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2856,4/9/2004,Fallujah -  Iraq,Terrorist Action,Iraq
2857,4/9/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2858,4/9/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2859,4/9/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2860,4/25/2004,Balad -  Iraq,Terrorist Action,Iraq
2861,4/25/2004,Balad -  Iraq,Terrorist Action,Iraq
2862,4/30/2004,Balad -  Iraq,Terrorist Action,Iraq
2863,4/30/2004,Mosul -  Iraq,Terrorist Action,Iraq
2864,5/7/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2865,5/8/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2866,5/13/2004,Kirkuk -  Iraq,Vehicle Accident,Iraq
2867,5/13/2004,Kirkuk -  Iraq,Vehicle Accident,Iraq
2868,5/30/2004,Baghdad -  Iraq,Homicide,Iraq
2869,6/2/2004,Al Asad -  Iraq,Terrorist Action,Iraq
2870,6/2/2004,Southern Iraq,Terrorist Action,Iraq
2871,6/5/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2872,6/5/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2873,6/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2874,6/14/2004,Near Babylon -  Iraq,Terrorist Action,Iraq
2875,6/17/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2876,6/17/2004,Balad -  Iraq,Terrorist Action,Iraq
2877,6/27/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2878,7/1/2004,Balad -  Iraq,Terrorist Action,Iraq
2879,7/19/2004,Samarra -  Iraq,Terrorist Action,Iraq
2880,8/2/2004,North Of Bayji -  Iraq,Terrorist Action,Iraq
2881,8/11/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2882,9/4/2004,Near Taji -  Iraq,Terrorist Action,Iraq
2883,9/10/2004,Near Baghdad -  Iraq,Terrorist Action,Iraq
2884,9/14/2004,Balad -  Iraq,Terrorist Action,Iraq
2885,9/20/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2886,9/21/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2887,9/28/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2888,10/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2889,10/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2890,10/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2891,10/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2892,10/19/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2893,10/24/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2894,10/27/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2895,11/2/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2896,11/8/2004,Al-latifiya Town -  Iraq,Other Accident,Iraq
2897,11/10/2004,Balad -  Iraq,Terrorist Action,Iraq
2898,11/12/2004,Baghdad -  Iraq,Other Accident,Iraq
2899,11/12/2004,Between Fallujah And Baghdad,Terrorist Action,Iraq
2900,11/12/2004,Between Fallujah And Baghdad,Terrorist Action,Iraq
2901,11/14/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2902,11/24/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2903,12/10/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2904,12/10/2004,Baghdad -  Iraq,Terrorist Action,Iraq
2905,12/21/2004,Mosul -  Iraq,Terrorist Action,Iraq
2906,12/21/2004,Mosul -  Iraq,Terrorist Action,Iraq
2907,12/21/2004,Mosul -  Iraq,Terrorist Action,Iraq
2908,12/21/2004,Mosul -  Iraq,Terrorist Action,Iraq
2909,1/3/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2910,1/28/2005,Mosul -  Iraq,Terrorist Action,Iraq
2911,1/29/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2912,2/6/2005,Nasiria -  Iraq,Terrorist Action,Iraq
2913,3/3/2005,Balad -  Iraq,Terrorist Action,Iraq
2914,3/3/2005,Balad -  Iraq,Terrorist Action,Iraq
2915,3/12/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2916,3/12/2005,Hilla -  Southeast Along Tampa -  Near Biap -  Iraq,Terrorist Action,Iraq
2917,3/13/2005,Fallujah -  Iraq,Vehicle Accident,Iraq
2918,3/25/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2919,3/25/2005,Baghdad -  Iraq,Other Accident,Iraq
2920,4/1/2005,Fallujah -  Iraq,Terrorist Action,Iraq
2921,4/16/2005,Near Baghdad -  Iraq,Terrorist Action,Iraq
2922,4/20/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2923,4/20/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2924,4/21/2005,Ramadi -  Iraq,Terrorist Action,Iraq
2925,4/21/2005,Tikrit -  Iraq,Terrorist Action,Iraq
2926,4/21/2005,Tikrit -  Iraq,Terrorist Action,Iraq
2927,4/21/2005,Tikrit -  Iraq,Terrorist Action,Iraq
2928,4/21/2005,Tikrit -  Iraq,Terrorist Action,Iraq
2929,4/21/2005,Tikrit -  Iraq,Terrorist Action,Iraq
2930,4/21/2005,Tikrit -  Iraq,Terrorist Action,Iraq
2931,5/7/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2932,5/7/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2933,5/10/2005,Ramadi -  Iraq,Terrorist Action,Iraq
2934,5/12/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2935,6/3/2005,Camp Victory -  Iraq,Terrorist Action,Iraq
2936,6/4/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2937,6/27/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2938,7/1/2005,Iraq,Vehicle Accident,Iraq
2939,7/3/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2940,8/3/2005,Basrah -  Iraq,Terrorist Action,Iraq
2941,8/20/2005,North Of Kalsu -  Iraq,Terrorist Action,Iraq
2942,8/23/2005,Baqubah -  Iraq,Terrorist Action,Iraq
2943,9/4/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2944,9/4/2005,Balad -  Iraq,Terrorist Action,Iraq
2945,9/7/2005,Basrah -  Iraq,Terrorist Action,Iraq
2946,9/7/2005,Basrah -  Iraq,Terrorist Action,Iraq
2947,9/7/2005,Basrah -  Iraq,Terrorist Action,Iraq
2948,9/7/2005,Basrah -  Iraq,Terrorist Action,Iraq
2949,9/19/2005,Mosul -  Iraq,Terrorist Action,Iraq
2950,9/19/2005,Mosul -  Iraq,Terrorist Action,Iraq
2951,9/19/2005,Mosul -  Iraq,Terrorist Action,Iraq
2952,9/19/2005,Mosul -  Iraq,Terrorist Action,Iraq
2953,9/20/2005,Near Balad -  Iraq,Terrorist Action,Iraq
2954,9/20/2005,Near Balad -  Iraq,Terrorist Action,Iraq
2955,9/20/2005,Near Balad -  Iraq,Terrorist Action,Iraq
2956,10/1/2005,Ramadi -  Iraq,Terrorist Action,Iraq
2957,10/19/2005,Al Kut -  Iraq,Terrorist Action,Iraq
2958,10/27/2005,Husain -  Iraq,Terrorist Action,Iraq
2959,11/12/2005,Fob Summerall -  Iraq,Homicide,Iraq
2960,11/17/2005,Balad -  Iraq,Terrorist Action,Iraq
2961,12/19/2005,Baghdad -  Iraq,Terrorist Action,Iraq
2962,12/22/2005,Baguba -  Iraq,Terrorist Action,Iraq
2963,12/28/2005,Balad -  Iraq,Terrorist Action,Iraq
2964,12/30/2005,Fallujah -  Iraq,Terrorist Action,Iraq
2965,1/1/2006,Al-asad -  Iraq,Vehicle Accident,Iraq
2966,1/1/2006,Al-asad -  Iraq,Vehicle Accident,Iraq
2967,1/1/2006,Al-asad -  Iraq,Vehicle Accident,Iraq
2968,1/1/2006,Al-asad -  Iraq,Vehicle Accident,Iraq
2969,1/6/2006,Nasiriyah -  Iraq,Terrorist Action,Iraq
2970,1/7/2006,Zambar Mountain -  Iraq,Air Accident,Iraq
2971,1/7/2006,Zambar Mountain -  Iraq,Air Accident,Iraq
2972,1/7/2006,Zambar Mountain -  Iraq,Air Accident,Iraq
2973,1/7/2006,Zambar Mountain -  Iraq,Air Accident,Iraq
2974,1/16/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2975,1/18/2006,Basrah -  Iraq,Terrorist Action,Iraq
2976,1/18/2006,Basrah -  Iraq,Terrorist Action,Iraq
2977,2/11/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2978,3/9/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2979,3/14/2006,Tal Afar -  Iraq,Terrorist Action,Iraq
2980,3/20/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2981,5/2/2006,Irbil -  Iraq,Suicide,Iraq
2982,5/3/2006,Tallil -  Iraq,Terrorist Action,Iraq
2983,5/7/2006,Tahwilla -  Iraq,Terrorist Action,Iraq
2984,5/8/2006,Near Rustamiyah -  Iraq,Terrorist Action,Iraq
2985,7/2/2006,Rustamyah -  Iraq,Other Accident,Iraq
2986,7/6/2006,Balad -  Iraq,Other Accident,Iraq
2987,7/6/2006,Bayji -  Iraq,Other Accident,Iraq
2988,7/17/2006,Baghdad -  Iraq,Other Accident,Iraq
2989,8/18/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2990,8/28/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2991,9/17/2006,Hawijah -  Iraq,Terrorist Action,Iraq
2992,9/22/2006,Basrah -  Iraq,Terrorist Action,Iraq
2993,9/25/2006,Tikrit -  Iraq,Terrorist Action,Iraq
2994,10/4/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2995,10/4/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2996,10/11/2006,Kudisha -  Iraq,Terrorist Action,Iraq
2997,10/22/2006,Baghdad -  Iraq,Terrorist Action,Iraq
2998,10/31/2006,Tikrit -  Iraq,Terrorist Action,Iraq
2999,11/2/2006,Baghdad -  Iraq,Terrorist Action,Iraq
3000,11/13/2006,Baghdad -  Iraq,Terrorist Action,Iraq
3001,12/21/2006,Baghdad -  Iraq,Terrorist Action,Iraq
3002,1/5/2007,Balad -  Iraq,Homicide,Iraq
3003,1/9/2007,Balad -  Iraq,Air Accident,Iraq
3004,1/13/2007,Baghdad -  Iraq,Other Accident,Iraq
3005,1/17/2007,Baghdad -  Iraq,Terrorist Action,Iraq
3006,1/18/2007,Baghdad -  Iraq,Terrorist Action,Iraq
3007,1/23/2007,Baghdad -  Iraq,Air Accident,Iraq
3008,1/23/2007,Baghdad -  Iraq,Air Accident,Iraq
3009,1/23/2007,Baghdad -  Iraq,Air Accident,Iraq
3010,1/23/2007,Baghdad -  Iraq,Homicide,Iraq
3011,1/23/2007,Baghdad -  Iraq,Air Accident,Iraq
3012,2/5/2007,Balad -  Iraq,Other Accident,Iraq
3013,3/8/2007,Scania -  Iraq,Other Accident,Iraq
3014,3/24/2007,Baghdad -  Iraq,Terrorist Action,Iraq
3015,3/27/2007,Baghdad -  Iraq,Terrorist Action,Iraq
3016,3/31/2007,Diwaniyah -  Iraq,Terrorist Action,Iraq
3017,4/22/2007,Diwaniyah -  Iraq,Terrorist Action,Iraq
3018,6/11/2007,Trikit -  Iraq,Terrorist Action,Iraq
3019,7/19/2007,Baghdad -  Iraq,Homicide,Iraq
3020,9/18/2007,Baghdad -  Iraq,Terrorist Action,Iraq
3021,11/26/2007,Baghdad -  Iraq,Vehicle Accident,Iraq
3022,11/26/2007,Numaniyah -  Iraq,Terrorist Action,Iraq
3023,12/9/2007,Baghdad -  Iraq,Homicide,Iraq
3024,12/9/2007,Baghdad -  Iraq,Homicide,Iraq
3025,12/9/2007,Baghdad -  Iraq,Homicide,Iraq
3026,1/31/2008,Baghdad -  Iraq,Homicide,Iraq
3027,2/13/2008,Baghdad -  Iraq,Suicide,Iraq
3028,2/19/2008,Baghdad -  Iraq,Homicide,Iraq
3029,3/10/2008,Baghdad -  Iraq,Terrorist Action,Iraq
3030,3/15/2008,Balad -  Iraq,Terrorist Action,Iraq
3031,3/23/2008,Balad -  Iraq,Terrorist Action,Iraq
3032,3/23/2008,Balad -  Iraq,Terrorist Action,Iraq
3033,3/24/2008,Balad -  Iraq,Terrorist Action,Iraq
3034,3/26/2008,Balad -  Iraq,Terrorist Action,Iraq
3035,3/26/2008,Balad -  Iraq,Terrorist Action,Iraq
3036,3/27/2008,Baghdad -  Iraq,Terrorist Action,Iraq
3037,4/2/2008,Baghdad -  Iraq,Homicide,Iraq
3038,4/11/2008,Baghdad -  Iraq,Homicide,Iraq
3039,4/21/2008,Baghdad -  Iraq,Terrorist Action,Iraq
3040,4/28/2008,Mosul -  Iraq,Other Accident,Iraq
3041,5/2/2008,Salah Ad Din Province -  Iraq,Homicide,Iraq
3042,5/5/2008,Baghdad -  Iraq,Vehicle Accident,Iraq
3043,6/13/2008,Balad -  Iraq,Terrorist Action,Iraq
3044,6/19/2008,Baghdad -  Iraq,Suicide,Iraq
3045,6/19/2008,Tallil -  Iraq,Vehicle Accident,Iraq
3046,6/24/2008,Sadr City -  Baghdad,Terrorist Action,Iraq
3047,6/24/2008,Sadr City -  Baghdad,Terrorist Action,Iraq
3048,7/5/2008,Al Kut -  Wassit -  Iraq,Homicide,Iraq
3049,7/7/2008,Mosul -  Iraq,Terrorist Action,Iraq
3050,7/7/2008,Mosul -  Iraq,Terrorist Action,Iraq
3051,12/5/2008,Al Anbar -  Iraq,Vehicle Accident,Iraq
3052,5/22/2009,Baghdad -  Iraq,Other Accident,Iraq
3053,5/22/2009,Baghdad -  Iraq,Homicide,Iraq
3054,7/17/2009,Baghdad - Baghdad -  Iraq,Other Accident,Iraq
3055,7/17/2009,Baghdad - Baghdad -  Iraq,Other Accident,Iraq
3056,9/13/2009,Tikrit -  Iraq,Homicide,Iraq
3057,9/27/2009,Baghdad -  Iraq,Vehicle Accident,Iraq
3058,1/23/2010,Ba'Qubah -  Iraq,Homicide,Iraq
3059,3/13/2010,Al Amarah -  Iraq,Homicide,Iraq
3060,6/17/2010,Sulaymaniyah -  Iraq,Vehicle Accident,Iraq
3061,7/23/2010,FOB Kasul -  Iraq,Terrorist Action,Iraq
3062,2/4/2011,Sulaimaniye -  Iraq,Air Accident,Iraq
3063,2/4/2011,Suleimaniye -  Iraq,Air Accident,Iraq
3064,2/4/2011,Suleimaniye -  Iraq,Air Accident,Iraq
3065,5/23/2011,Ramadi -  Iraq,Vehicle Accident,Iraq
3066,5/23/2011,Ramadi -  Iraq,Vehicle Accident,Iraq
3067,5/31/2011,Baghdad -  Iraq,Homicide,Iraq
